COD,NOME,SIGLA,REGIAO
12,Acre,AC,Norte
27,Alagoas,AL,Nordeste
13,Amazonas,AM,Norte
16,Amapá,AP,Norte
29,Bahia,BA,Nordeste
23,Ceará,CE,Nordeste
53,Distrito Federal,DF,Centro-Oeste
32,Espírito Santo,ES,Sudeste
52,Goiás,GO,Centro-Oeste
21,Maranhão,MA,Nordeste
31,Minas Gerais,MG,Sudeste
50,Mato Grosso do Sul,MS,Centro-Oeste
51,Mato Grosso,MT,Centro-Oeste
15,Pará,PA,Norte
25,Paraíba,PB,Nordeste
26,Pernambuco,PE,Nordeste
22,Piauí,PI,Nordeste
41,Paraná,PR,Sul
33,Rio de Janeiro,RJ,Sudeste
24,Rio Grande do Norte,RN,Nordeste
43,Rio Grande do Sul,RS,Sul
11,Rondônia,RO,Norte
14,Roraima,RR,Norte
42,Santa Catarina,SC,Sul
35,São Paulo,SP,Sudeste
28,Sergipe,SE,Nordeste
17,Tocantins,TO,Norte