Localidade;;Unidade;Jan ;Fev ;Mar ;Abr ;Mai ;Jun ;Jul ;Ago ;Set ;Out ;Nov ;Dez 
AC;;60,00 KG;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 
AL;;60,00 KG;57,75 ;57,75 ;57,75 ;57,75 ;57,75 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 
AM;;60,00 KG;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 
AP;;60,00 KG;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 
BA;;60,00 KG;50,30 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 
CE;;60,00 KG;57,75 ;57,75 ;57,75 ;57,75 ;57,75 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 
DF;;60,00 KG;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 
ES;;60,00 KG;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 
GO;;60,00 KG;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 
MA;;60,00 KG;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 
MG;;60,00 KG;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 
MS;;60,00 KG;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 
MT;;60,00 KG;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 
PA;;60,00 KG;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 
PB;;60,00 KG;57,75 ;57,75 ;57,75 ;57,75 ;57,75 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 
PE;;60,00 KG;57,75 ;57,75 ;57,75 ;57,75 ;57,75 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 
PI;;60,00 KG;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 
PR;;60,00 KG;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 
RJ;;60,00 KG;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 
RN;;60,00 KG;57,75 ;57,75 ;57,75 ;57,75 ;57,75 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 
RO;;60,00 KG;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 
RR;;60,00 KG;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 
RS;;60,00 KG;52,38 ;52,38 ;52,38 ;52,38 ;52,38 ;52,38 ;52,38 ;52,38 ;52,38 ;52,38 ;52,38 ;52,38 
SC;;60,00 KG;52,38 ;52,38 ;52,38 ;52,38 ;52,38 ;52,38 ;52,38 ;52,38 ;52,38 ;52,38 ;52,38 ;52,38 
SE;;60,00 KG;57,75 ;57,75 ;57,75 ;57,75 ;57,75 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 ;50,30 
SP;;60,00 KG;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 ;47,79 
SUL DO MARANHÃO;;60,00 KG;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
SUL DO MATO GROSSO;;60,00 KG;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
SUL DO PIAUÍ;;60,00 KG;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 
TO;;60,00 KG;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 ;39,21 